word1;word2;n
sadly;disappointed;  4
safe;choice;  4
smart;restaurant;  4
splendid;view;  4
stunning;decor;  4
super;convenient;  4
super;cool;  4
super;impressed;  4
super;reasonable;  4
superb;meal;  4
superior;pottage;  4
sweet;crust;  4
sweet;dessert;  4
sweet;pastry;  4
sweet;pork;  4
sweet;sauce;  4
sweet;spicy;  4
sweet;treats;  4
terrific;food;  4
thanks;gab;  4
top;bar;  4
top;chinese;  4
top;choice;  4
top;dollar;  4
true;chinese;  4
warm;greeting;  4
warm;recommendation;  4
warm;smile;  4
waste;time;  4
won;awards;  4
wonderful;taste;  4
worst;meal;  4
worst;service;  4
worth;finding;  4
wrong;choice;  4
wrong;dish;  4
yummy;dimsum;  4
yummy;dumplings;  4
yummy;fried;  4
alone;food;  3
amazing;choice;  3
amazing;cocktail;  3
amazing;cocktails;  3
amazing;crispy;  3
amazing;flavor;  3
amazing;flavour;  3
amazing;it’s;  3
amazing;noodle;  3
amazing;prawn;  3
amazing;prices;  3
amazing;pricey;  3
amazing;restaurants;  3
amazing;rice;  3
amazing;sauce;  3
amazing;server;  3
amazing;table;  3
amazing;tasting;  3
amazing;variety;  3
amazing;worth;  3
avoid;lunch;  3
avoid;rush;  3
awarded;michelin;  3
awesome;price;  3
awesome;views;  3
bad;attitude;  3
bad;day;  3
bad;news;  3
bad;night;  3
bad;word;  3
bargain;price;  3
beautiful;ambience;  3
beautiful;cantonese;  3
beautiful;design;  3
beautiful;dessert;  3
beautiful;dinner;  3
beautiful;environment;  3
beautiful;hotel;  3
beautiful;meal;  3
beautiful;people;  3
beautiful;surroundings;  3
beautiful;victoria;  3
beautifully;crafted;  3
beautifully;plated;  3
beautifully;served;  3
best;authentic;  3
best;average;  3
best;beijing;  3
best;branch;  3
best;chefs;  3
best;chicken;  3
best;fish;  3
best;hotels;  3
best;mango;  3
best;prawn;  3
best;recommended;  3
best;roasted;  3
best;seller;  3
best;shanghai;  3
best;soup;  3
best;version;  3
better;experiences;  3
better;job;  3
better;local;  3
better;location;  3
better;peking;  3
better;prices;  3
better;suited;  3
better;time;  3
better;wonton;  3
big;chunks;  3
big;cities;  3
big;crowds;  3
big;family;  3
big;food;  3
big;fresh;  3
big;party;  3
big;portions;  3
big;serving;  3
big;size;  3
big;smiles;  3
big;tables;  3
big;thumbs;  3
big;time;  3
bitter;melon;  3
bitterly;disappointed;  3
boring;flavourless;  3
breathtaking;service;  3
brilliant;dim;  3
brilliant;experience;  3
celebrate;special;  3
certain;food;  3
charming;atmosphere;  3
charming;decor;  3
chic;chinese;  3
classy;atmosphere;  3
clean;atmosphere;  3
clean;comfortable;  3
clean;delicious;  3
clean;efficient;  3
clean;fast;  3
clean;plates;  3
clean;restroom;  3
clean;staff;  3
clean;tidy;  3
clearly;marked;  3
clearly;prepared;  3
comfortable;dining;  3
comfortable;restaurant;  3
comfortable;setting;  3
comfortable;sofa;  3
comprehensive;wine;  3
cool;experience;  3
cool;interior;  3
cool;vibe;  3
courteous;efficient;  3
creative;cantonese;  3
die;die;  3
dirty;plates;  3
disappoint;food;  3
disappointed;menu;  3
disappointing;dinner;  3
easy;service;  3
elegant;dining;  3
empty;plate;  3
enjoy;chinese;  3
enjoy;dinner;  3
enjoy;food;  3
enjoy;watching;  3
entertaining;clients;  3
excellent;book;  3
excellent;choices;  3
excellent;cocktails;  3
excellent;customer;  3
excellent;dimsum;  3
excellent;dish;  3
excellent;evening;  3
excellent;fine;  3
excellent;highly;  3
excellent;hot;  3
excellent;meals;  3
excellent;start;  3
excellent;tea;  3
excellent;time;  3
excellent;variety;  3
excellent;waiting;  3
excellent;wines;  3
excellent;wonderful;  3
exciting;dishes;  3
fabulous;dim;  3
fabulous;dinner;  3
fabulous;dishes;  3
fabulous;evening;  3
fabulous;setting;  3
fabulous;staff;  3
fantastic;authentic;  3
fantastic;cocktails;  3
fantastic;dishes;  3
fantastic;dumplings;  3
fantastic;flavours;  3
fantastic;highly;  3
fantastic;selection;  3
fantastic;tea;  3
fantastic;venue;  3
favorite;foods;  3
favorite;item;  3
fine;dim;  3
fine;establishment;  3
fine;french;  3
fine;restaurants;  3
focused;restaurant;  3
free;chinese;  3
free;food;  3
free;meal;  3
free;parking;  3
free;shuttle;  3
free;tables;  3
fresh;coconut;  3
fresh;flavours;  3
fresh;local;  3
fresh;prawn;  3
fresh;produce;  3
fresh;seasonal;  3
fresh;stir;  3
friendly;accommodating;  3
friendly;attitude;  3
friendly;funny;  3
friendly;hostess;  3
friendly;quick;  3
friendly;services;  3
friendly;wait;  3
friendly;waiter;  3
friendly;waitress;  3
friendly;welcoming;  3
fun;char;  3
fun;service;  3
generous;size;  3
good;1;  3
good;absolutely;  3
good;address;  3
good;assortment;  3
good;attentive;  3
good;bbq;  3
good;bottle;  3
good;bowl;  3
good;busy;  3
good;congee;  3
good;cooked;  3
good;cooking;  3
good;deep;  3
good;drinks;  3
good;easy;  3
good;eating;  3
good;evening;  3
good;flavours;  3
good;gab;  3
good;generous;  3
good;harbour;  3
good;hope;  3
good;hospitality;  3
good;impression;  3
good;indication;  3
good;interior;  3
good;jasmine;  3
good;level;  3
good;list;  3
good;lovely;  3
good;manners;  3
good;nonetheless;  3
good;offering;  3
good;plan;  3
good;prawns;  3
good;reasons;  3
good;recommended;  3
good;red;  3
good;reports;  3
good;roast;  3
good;sense;  3
good;spicy;  3
good;steamed;  3
good;suggestion;  3
good;system;  3
good;table;  3
good;texture;  3
good;tripadvisor;  3
good;varieties;  3
good;vegetarian;  3
good;waiter;  3
good;waitress;  3
good;yan;  3
good;yum;  3
gracious;host;  3
gracious;service;  3
grand;finale;  3
grand;view;  3
great;affordable;  3
great;albeit;  3
great;change;  3
great;cheap;  3
great;combination;  3
great;contrast;  3
great;dinning;  3
great;enjoyed;  3
great;excellent;  3
great;fan;  3
great;feast;  3
great;formula;  3
great;friendly;  3
great;half;  3
great;hong;  3
great;interior;  3
great;match;  3
great;moment;  3
great;noodles;  3
great;personal;  3
great;reputation;  3
great;seafood;  3
great;sense;  3
great;services;  3
great;soup;  3
great;speedy;  3
great;surroundings;  3
great;system;  3
great;tasty;  3
great;tea;  3
great;traditional;  3
great;waiter;  3
great;worth;  3
great;yum;  3
greeted;warmly;  3
ha;kau;  3
happy;tummy;  3
happy;valley;  3
harm;shui;  3
